Date,BRENT
,BZ=F
10/22/2012,109.4400024
10/23/2012,108.25
10/24/2012,107.8499985
10/25/2012,108.4899979
10/26/2012,109.5500031
10/31/2012,108.6999969
11/1/2012,108.1699982
11/2/2012,105.6800003
11/5/2012,107.7300034
11/6/2012,111.0699997
11/7/2012,106.8199997
11/8/2012,107.25
11/9/2012,109.4000015
11/12/2012,109.0699997
11/13/2012,108.2600021
11/14/2012,109.6100006
11/15/2012,110.9800034
11/19/2012,110.8399963
11/20/2012,109.8300018
11/21/2012,110.8600006
11/23/2012,111.3799973
11/26/2012,110.9199982
11/27/2012,109.8700027
11/28/2012,109.5100021
11/29/2012,110.7600021
11/30/2012,111.2300034
12/3/2012,110.9199982
12/4/2012,109.8399963
12/5/2012,108.8099976
12/6/2012,107.0299988
12/7/2012,107.0199966
12/10/2012,107.3300018
12/11/2012,108.0100021
12/12/2012,109.5
12/13/2012,107.9100037
12/14/2012,109.1500015
12/19/2012,110.3600006
12/20/2012,110.1999969
12/21/2012,108.9700012
12/24/2012,108.8000031
12/26/2012,111.0699997
12/27/2012,110.8000031
12/28/2012,110.6200027
12/31/2012,111.1100006
1/2/2013,112.4700012
1/3/2013,112.1399994
1/4/2013,111.3099976
1/7/2013,111.4000015
1/8/2013,111.9400024
1/9/2013,111.7600021
1/10/2013,111.8899994
1/11/2013,110.6399994
1/14/2013,111.8799973
1/15/2013,110.3000031
1/16/2013,110.6100006
1/17/2013,110.6100006
1/18/2013,110.6100006
1/22/2013,112.4199982
1/23/2013,112.8000031
1/24/2013,113.2799988
1/25/2013,113.2799988
1/28/2013,113.4800034
1/29/2013,114.3600006
1/30/2013,114.9000015
1/31/2013,115.5500031
2/1/2013,116.7600021
2/4/2013,115.5999985
2/5/2013,116.5199966
2/6/2013,116.7300034
2/7/2013,117.2399979
2/8/2013,118.9000015
2/11/2013,118.1299973
2/12/2013,118.6600037
2/13/2013,118.7200012
2/14/2013,118.5800018
2/15/2013,118.5800018
2/19/2013,117.5199966
2/20/2013,115.5999985
2/21/2013,113.5299988
2/22/2013,114.0999985
2/25/2013,114.4400024
2/26/2013,112.7099991
2/27/2013,111.8700027
2/28/2013,111.3799973
3/1/2013,110.4000015
3/4/2013,110.0899963
3/5/2013,111.6100006
3/6/2013,111.0599976
3/7/2013,111.1500015
3/8/2013,110.8499985
3/11/2013,110.2200012
3/12/2013,109.6500015
3/13/2013,108.5199966
3/14/2013,109.4199982
3/15/2013,109.3799973
3/19/2013,107.4499969
3/20/2013,108.7200012
3/21/2013,107.4700012
3/22/2013,107.6600037
3/25/2013,108.1699982
3/26/2013,109.3600006
3/27/2013,109.6900024
3/28/2013,110.0199966
4/1/2013,111.0800018
4/2/2013,110.6900024
4/3/2013,107.1100006
4/4/2013,106.3399963
4/5/2013,104.1200027
4/8/2013,104.6600037
4/9/2013,106.2300034
4/10/2013,105.7900009
4/11/2013,104.2699966
4/12/2013,103.1100006
4/15/2013,100.3899994
4/16/2013,100.3600006
4/17/2013,100.3600006
4/18/2013,99.12999725
4/19/2013,99.65000153
4/22/2013,100.3899994
4/23/2013,100.3099976
4/24/2013,101.7300034
4/25/2013,103.4100037
4/26/2013,103.1600037
4/29/2013,103.8099976
4/30/2013,102.3700027
5/1/2013,99.94999695
5/2/2013,102.8499985
5/3/2013,104.1900024
5/6/2013,105.4599991
5/7/2013,104.4000015
5/8/2013,104.3399963
5/9/2013,104.4700012
5/10/2013,103.9100037
5/13/2013,102.8199997
5/14/2013,102.5999985
5/15/2013,103.6800003
5/16/2013,103.8000031
5/17/2013,103.7200012
5/20/2013,103.7200012
5/21/2013,103.9100037
5/22/2013,102.5999985
5/23/2013,102.4400024
5/24/2013,102.6399994
5/28/2013,104.2300034
5/29/2013,102.4300003
5/30/2013,102.1900024
5/31/2013,100.3899994
6/3/2013,102.0599976
6/4/2013,103.2399979
6/5/2013,103.0400009
6/6/2013,103.6100006
6/7/2013,104.5599976
6/10/2013,103.9499969
6/11/2013,102.9599991
6/12/2013,103.4899979
6/13/2013,104.25
6/14/2013,104.2900009
6/18/2013,106.0199966
6/19/2013,106.1200027
6/20/2013,102.1500015
6/21/2013,100.9100037
6/24/2013,101.1600037
6/25/2013,101.2600021
6/26/2013,101.6600037
6/27/2013,102.8199997
6/28/2013,102.1600037
7/1/2013,103
7/2/2013,104
7/3/2013,105.7600021
7/5/2013,107.7200012
7/8/2013,107.4300003
7/9/2013,107.8099976
7/10/2013,108.5100021
7/11/2013,107.7300034
7/12/2013,108.8099976
7/15/2013,109.0899963
7/16/2013,109.4000015
7/17/2013,109.3600006
7/19/2013,108.0699997
7/22/2013,108.1500015
7/23/2013,108.4199982
7/24/2013,107.1900024
7/25/2013,107.6500015
7/26/2013,107.1699982
7/29/2013,107.4499969
7/30/2013,106.9100037
7/31/2013,107.6999969
8/1/2013,109.5400009
8/2/2013,108.9499969
8/5/2013,108.6999969
8/6/2013,108.1800003
8/7/2013,107.4400024
8/8/2013,106.6800003
8/9/2013,108.2200012
8/12/2013,108.9700012
8/13/2013,109.8199997
8/14/2013,110.1999969
8/15/2013,111.1100006
8/16/2013,111.1699982
8/20/2013,110.1500015
8/21/2013,109.8099976
8/22/2013,109.9000015
8/23/2013,111.0400009
8/26/2013,110.7300034
8/27/2013,114.3600006
8/28/2013,116.6100006
8/29/2013,115.1600037
8/30/2013,114.0100021
9/3/2013,115.6800003
9/4/2013,114.9100037
9/5/2013,115.2600021
9/6/2013,116.1200027
9/9/2013,113.7200012
9/10/2013,111.25
9/11/2013,111.5
9/12/2013,112.6299973
9/13/2013,112.7799988
9/18/2013,110.5999985
9/19/2013,108.7600021
9/20/2013,109.2200012
9/23/2013,108.1600037
9/24/2013,108.6399994
9/25/2013,108.3199997
9/26/2013,109.2099991
9/27/2013,108.6299973
9/30/2013,108.3700027
10/1/2013,107.9400024
10/2/2013,109.1900024
10/3/2013,109
10/4/2013,109.4599991
10/7/2013,109.6800003
10/8/2013,110.1600037
10/9/2013,109.0599976
10/10/2013,111.8000031
10/11/2013,111.2799988
10/14/2013,111.0400009
10/15/2013,109.9599991
10/16/2013,110.8600006
10/17/2013,110.9700012
10/21/2013,109.6399994
10/22/2013,109.9700012
10/23/2013,107.8000031
10/24/2013,106.9899979
10/25/2013,106.9300003
10/28/2013,109.6100006
10/29/2013,109.0100021
10/30/2013,109.8600006
10/31/2013,108.8399963
11/1/2013,105.9100037
11/4/2013,106.2300034
11/5/2013,105.3300018
11/6/2013,105.2399979
11/7/2013,103.4599991
11/8/2013,105.1200027
11/11/2013,106.4000015
11/12/2013,105.8099976
11/13/2013,107.1200027
11/14/2013,108.5400009
11/15/2013,108.5500031
11/19/2013,106.9199982
11/20/2013,108.0599976
11/21/2013,110.0800018
11/22/2013,111.0500031
11/25/2013,111
11/26/2013,110.8799973
11/27/2013,111.3099976
11/29/2013,109.6900024
12/2/2013,111.4499969
12/3/2013,112.6200027
12/4/2013,111.8799973
12/5/2013,110.9800034
12/6/2013,111.6100006
12/9/2013,109.3899994
12/10/2013,109.3799973
12/11/2013,109.6999969
12/12/2013,108.6699982
12/13/2013,108.8300018
12/16/2013,110.4700012
12/17/2013,110.4100037
12/19/2013,110.2900009
12/20/2013,111.7699966
12/23/2013,111.5599976
12/24/2013,111.9000015
12/26/2013,111.9800034
12/27/2013,112.1800003
12/30/2013,111.2099991
