"Date","Price","Open","High","Low","Change %"
"04/01/2011","9.350","9.560","9.670","9.190","-1.89%"
"03/01/2011","9.530","9.710","10.050","9.370","-1.75%"
"02/01/2011","9.700","9.680","9.890","9.250","0.31%"
"01/01/2011","9.670","8.610","9.840","8.490","12.31%"
"12/01/2010","8.610","9.070","9.340","8.610","-5.80%"
"11/01/2010","9.140","8.570","9.140","8.400","7.40%"
"10/01/2010","8.510","9.010","9.080","8.470","-5.44%"
"09/01/2010","9.000","9.060","9.320","9.000","-0.44%"
"08/01/2010","9.040","9.020","9.570","8.990","0.00%"
"07/01/2010","9.040","9.820","9.900","8.830","-7.94%"
"06/01/2010","9.820","10.750","10.750","9.770","-8.65%"
"05/01/2010","10.750","10.770","11.650","10.580","0.19%"
"04/01/2010","10.730","10.700","11.490","10.550","1.71%"
"03/01/2010","10.550","10.880","11.290","10.550","-3.03%"
"02/01/2010","10.880","11.270","11.390","10.880","-2.68%"
