"Date","Price","Open","High","Low","Change %"
"04/01/2010","8.470","8.470","8.470","8.470","-0.47%"
"03/01/2010","8.510","8.510","8.510","8.510","-2.74%"
"02/01/2010","8.750","8.750","8.750","8.750","-3.26%"
"01/01/2010","9.045","9.045","9.045","9.045","0.00%"
"12/01/2009","9.045","9.045","9.045","9.045","-0.22%"
"11/01/2009","9.065","9.065","9.065","9.065","1.00%"
"10/01/2009","8.975","8.975","8.975","8.975","2.28%"
"09/01/2009","8.775","8.775","8.775","8.775","0.80%"
"08/01/2009","8.705","8.705","8.705","8.705","-1.92%"
"07/01/2009","8.875","8.875","8.875","8.875","-0.89%"
"06/01/2009","8.955","8.955","8.955","8.955","1.42%"
"05/01/2009","8.830","8.830","8.830","8.830","4.00%"
"04/01/2009","8.490","8.490","8.490","8.490","-1.34%"
"03/01/2009","8.605","8.605","8.605","8.605","0.53%"
"02/01/2009","8.560","8.560","8.560","8.560","7.88%"
"01/01/2009","7.935","7.935","7.935","7.935","8.33%"
"12/01/2008","7.325","7.325","7.325","7.325","-12.28%"
"11/01/2008","8.350","8.350","8.350","8.350","-8.24%"
"10/01/2008","9.100","9.100","9.100","9.100","2.82%"
"09/01/2008","8.850","8.850","8.850","8.850","-2.96%"
"08/01/2008","9.120","9.120","9.120","9.120","-0.65%"
"07/01/2008","9.180","9.180","9.180","9.180","-14.21%"
"06/01/2008","10.700","10.700","10.700","10.700","6.26%"
"05/01/2008","10.070","10.070","10.070","10.070","6.56%"
"04/01/2008","9.450","9.450","9.450","9.450","2.44%"
"03/01/2008","9.225","9.225","9.225","9.225","2.79%"
"02/01/2008","8.975","8.975","8.975","8.975","4.18%"
"01/01/2008","8.615","8.615","8.615","8.615","0.47%"
"12/01/2007","8.575","8.575","8.575","8.575","0.23%"
"11/01/2007","8.555","8.555","8.555","8.555","6.08%"
"10/01/2007","8.065","8.065","8.065","8.065","-2.30%"
"09/01/2007","8.255","8.255","8.255","8.255","-4.07%"
"08/01/2007","8.605","8.605","8.605","8.605","0.41%"
"07/01/2007","8.570","8.570","8.570","8.570","0.82%"
"06/01/2007","8.500","8.500","8.500","8.500","6.38%"
"05/01/2007","7.990","7.990","7.990","7.990","4.10%"
"04/01/2007","7.675","7.675","7.675","7.675","-2.04%"
"03/01/2007","7.835","7.835","7.835","7.835","2.35%"
"02/01/2007","7.655","7.655","7.655","7.655","-2.05%"
"01/01/2007","7.815","7.815","7.815","7.815","-0.57%"
"12/01/2006","7.860","7.860","7.860","7.860","-2.18%"
"11/01/2006","8.035","8.035","8.035","8.035","-0.06%"
"10/01/2006","8.040","8.040","8.040","8.040","-7.25%"
"09/01/2006","8.668","8.668","8.668","8.668","-1.50%"
"08/01/2006","8.800","8.800","8.800","8.800","1.32%"
"07/01/2006","8.685","8.685","8.685","8.685","0.20%"
"06/01/2006","8.668","8.668","8.668","8.668","12.09%"
"05/01/2006","7.733","7.733","7.733","7.733","4.74%"
"04/01/2006","7.383","7.383","7.383","7.383","-1.45%"
"03/01/2006","7.492","7.492","7.492","7.492","2.64%"
"02/01/2006","7.299","7.299","7.299","7.299","-1.08%"
"01/01/2006","7.379","7.379","7.379","7.379","-1.32%"
"12/01/2005","7.478","7.478","7.478","7.478","-3.22%"
"11/01/2005","7.727","7.727","7.727","7.727","-4.20%"
